name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	21	10	11	20	20	50	5460	80	5460	1126	40	2113	1750	23	1949	4360	80	4360	5460	80	5460	t < 800 ms	10	47	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	11	52	2	1	1
request_2	10	10	0	20	20	-1	80	80	-1	40	40	-1	23	23	-1	80	80	-1	80	80	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_3	1	0	1	70	-1	70	70	-1	70	70	-1	70	0	-1	0	70	-1	70	70	-1	70	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	1	100	0	-1	0
request_1	10	0	10	50	-1	50	5460	-1	5460	2317	-1	2317	1929	-1	1929	5460	-1	5460	5460	-1	5460	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	10	100	1	-1	1

